"Codi";"Nom";"Codi comarca";"Nom comarca";"negatius";"positius"
171735;"Sant Martí Vell";20;"Gironès";1;0
82251;"Sant Martí d'Albars";24;"Osona";0;0
82248;"Sant Martí de Centelles";24;"Osona";2;0
171729;"Sant Martí de Llémena";20;"Gironès";3;1
259025;"Sant Martí de Riucorb";38;"Urgell";2;1
82264;"Sant Martí de Tous";6;"Anoia";10;4
82299;"Sant Mateu de Bages";7;"Bages";2;0
171740;"Sant Miquel de Campmajor";28;"Pla de l'Estany";1;0
171753;"Sant Miquel de Fluvià";2;"Alt Empordà";0;0
171766;"Sant Mori";2;"Alt Empordà";0;0
171772;"Sant Pau de Segúries";31;"Ripollès";1;0
171788;"Sant Pere Pescador";2;"Alt Empordà";0;1
81897;"Sant Pere Sallavinera";6;"Anoia";0;0
82310;"Sant Pere de Ribes";17;"Garraf";70;23
82325;"Sant Pere de Riudebitlles";3;"Alt Penedès";4;1
82331;"Sant Pere de Torelló";24;"Osona";2;7
82346;"Sant Pere de Vilamajor";41;"Vallès Oriental";17;5
82359;"Sant Pol de Mar";21;"Maresme";16;9
82362;"Sant Quintí de Mediona";3;"Alt Penedès";6;2
82397;"Sant Quirze Safaja";42;"Moianès";0;0
82378;"Sant Quirze de Besora";24;"Osona";2;10
82384;"Sant Quirze del Vallès";40;"Vallès Occidental";89;101
251945;"Sant Ramon";32;"Segarra";0;1
82401;"Sant Sadurní d'Anoia";3;"Alt Penedès";19;13
82418;"Sant Sadurní d'Osormort";24;"Osona";0;0
80983;"Sant Salvador de Guardiola";7;"Bages";7;2
82628;"Sant Vicenç de Castellet";7;"Bages";12;11
82649;"Sant Vicenç de Montalt";21;"Maresme";20;6
82652;"Sant Vicenç de Torelló";24;"Osona";2;2
82634;"Sant Vicenç dels Horts";11;"Baix Llobregat";72;57
431384;"Santa Bàrbara";22;"Montsià";4;3
82439;"Santa Cecília de Voltregà";24;"Osona";0;0
82444;"Santa Coloma de Cervelló";11;"Baix Llobregat";22;29
171805;"Santa Coloma de Farners";34;"Selva";29;26
82457;"Santa Coloma de Gramenet";13;"Barcelonès";358;322
431397;"Santa Coloma de Queralt";16;"Conca de Barberà";4;6
171812;"Santa Cristina d'Aro";10;"Baix Empordà";5;3
82460;"Santa Eugènia de Berga";24;"Osona";11;4
82476;"Santa Eulàlia de Riuprimer";24;"Osona";3;9
82482;"Santa Eulàlia de Ronçana";41;"Vallès Oriental";8;5
82495;"Santa Fe del Penedès";3;"Alt Penedès";1;0
171827;"Santa Llogaia d'Àlguema";2;"Alt Empordà";0;0
82508;"Santa Margarida de Montbui";6;"Anoia";60;68
82515;"Santa Margarida i els Monjos";3;"Alt Penedès";11;7
82589;"Santa Maria d'Oló";42;"Moianès";2;1
